Date,MeanTravelTimeSeconds
2016-01-02,992.2909535452322
2016-01-03,983.4180522565321
2016-01-04,985.9970149253732
2016-01-05,1065.590785907859
2016-01-06,1076.186224489796
2016-01-07,1054.7525252525252
2016-01-08,1121.5375
2016-01-09,1054.1647331786544
2016-01-10,1075.044543429844
2016-01-11,1026.308743169399
2016-01-12,1093.0842105263157
2016-01-13,1116.27959697733
2016-01-14,1144.1716247139589
2016-01-15,1166.3161592505855
2016-01-16,1122.4708423326133
2016-01-17,1044.7891304347827
2016-01-18,997.3724489795918
2016-01-19,1119.3598971722365
2016-01-20,2010.8652849740934
2016-01-21,1217.0778588807786
2016-01-22,1082.4473684210527
2016-01-23,996.234693877551
2016-01-24,998.75
2016-01-25,1198.1144578313254
2016-01-26,1123.9287671232876
2016-01-27,1252.886075949367
2016-01-28,1253.858173076923
2016-01-29,1263.369266055046
2016-01-30,1157.1744680851064
2016-01-31,1128.7412280701753
2016-02-01,1183.361111111111
2016-02-02,1111.1700507614214
2016-02-03,1219.9119047619047
2016-02-04,1172.2217090069284
2016-02-05,1209.541474654378
2016-02-06,1131.2222222222222
2016-02-07,1098.1002178649237
2016-02-08,1074.132075471698
2016-02-09,1018.5216216216216
2016-02-10,1117.5323741007194
2016-02-11,1214.3761682242991
2016-02-12,1202.6840909090909
2016-02-13,1118.3199152542372
2016-02-14,1135.0590717299579
2016-02-15,1170.0897435897436
2016-02-16,1068.5943152454781
2016-02-17,1127.4628712871288
2016-02-18,1177.2611764705882
2016-02-19,1176.5264367816092
2016-02-20,1154.0601659751037
2016-02-21,1066.18954248366
2016-02-22,1099.0104438642297
2016-02-23,1177.0074074074073
2016-02-24,1267.914351851852
2016-02-25,1184.8173515981734
2016-02-26,1231.2671081677704
2016-02-27,1109.5
2016-02-28,1084.595698924731
2016-02-29,1098.0333333333333
2016-03-01,1161.055421686747
2016-03-02,1223.8456221198157
2016-03-03,1207.9182692307693
2016-03-04,1142.254716981132
2016-03-05,1154.97510373444
2016-03-06,1097.1638655462184
2016-03-07,1109.1822784810126
2016-03-08,1212.187341772152
2016-03-09,1171.1218274111675
2016-03-10,1222.702460850112
2016-03-11,1216.9395973154362
2016-03-12,1183.1507430997876
2016-03-13,1104.1716101694915
2016-03-14,1156.340579710145
2016-03-15,1161.0286396181384
2016-03-16,1428.7111111111112
2016-03-17,1213.4604966139955
2016-03-18,1196.6904761904761
2016-03-19,1162.2710472279261
2016-03-20,1056.4876957494407
2016-03-21,1090.4715025906735
2016-03-22,1222.2527716186253
2016-03-23,1212.4642857142858
2016-03-24,1315.5261958997721
2016-03-25,1200.7218543046358
2016-03-26,1169.7643312101911
2016-03-27,1079.6948051948052
2016-03-28,1182.8165374677003
2016-03-29,1214.8787128712872
2016-03-30,1210.5930521091811
2016-03-31,1137.1358974358975
2016-04-01,1189.256038647343
2016-04-02,1174.0331125827815
2016-04-03,1093.5898520084565
2016-04-04,1125.6709844559587
2016-04-05,1160.4201474201475
2016-04-06,1201.7330210772834
2016-04-07,1208.7290167865708
