Date,MeanTravelTimeSeconds
2016-01-02,1441.6838966202783
2016-01-03,1597.9515625
2016-01-04,1326.4964028776978
2016-01-05,1355.872197309417
2016-01-06,1451.7402862985684
2016-01-07,1525.9907407407406
2016-01-08,1657.2994746059544
2016-01-09,1727.3748251748252
2016-01-10,1703.7717086834734
2016-01-11,1503.1930184804928
2016-01-12,1621.3446327683616
2016-01-13,1665.8205607476636
2016-01-14,1700.5024958402662
2016-01-15,1744.5493630573249
2016-01-16,1898.764705882353
2016-01-17,1808.247579529737
2016-01-18,1541.5750988142292
2016-01-19,1622.7875939849623
2016-01-20,1658.9510869565217
2016-01-21,1777.5353037766831
2016-01-22,1764.9651898734178
2016-01-23,1871.053908355795
2016-01-24,1899.5745554035568
2016-01-25,1562.070610687023
2016-01-26,1684.070909090909
2016-01-27,1672.0260869565218
2016-01-28,1793.6411092985318
2016-01-29,1919.1133720930231
2016-01-30,1974.750645994832
2016-01-31,1886.0646437994724
2016-02-01,1542.7098646034817
2016-02-02,1622.0632183908046
2016-02-03,1703.359375
2016-02-04,1843.3543913713406
2016-02-05,1851.5144596651446
2016-02-06,1960.4552631578947
2016-02-07,1879.3530183727034
2016-02-08,1629.4104882459312
2016-02-09,1656.4140480591498
2016-02-10,1741.0247933884298
2016-02-11,1834.5365474339035
2016-02-12,1898.1616161616162
2016-02-13,2122.7656641604012
2016-02-14,1951.7728426395938
2016-02-15,1589.9283088235295
2016-02-16,1617.9658886894076
2016-02-17,1778.1639072847681
2016-02-18,1788.3112164297
2016-02-19,1891.2005813953488
2016-02-20,1938.0232858990944
2016-02-21,1883.80291005291
2016-02-22,1617.090909090909
2016-02-23,1741.6039076376553
2016-02-24,1755.3756432246998
2016-02-25,1847.2582089552238
2016-02-26,1902.334788937409
2016-02-27,1961.4285714285713
2016-02-28,1893.172549019608
2016-02-29,1586.9399624765479
2016-03-01,1673.2566371681417
2016-03-02,1731.5975820379965
2016-03-03,1856.55625
2016-03-04,1939.751724137931
2016-03-05,1962.078947368421
2016-03-06,2014.2023653088042
2016-03-07,1537.2649402390439
2016-03-08,1743.6167247386759
2016-03-09,1750.5106382978724
2016-03-10,1815.1442155309032
2016-03-11,1848.6743849493487
2016-03-12,1919.3498049414825
2016-03-13,1861.6162018592297
2016-03-14,1568.7447619047618
2016-03-15,1722.2589928057555
2016-03-16,1702.8094405594406
2016-03-17,1898.1945773524722
2016-03-18,1841.0857558139535
2016-03-19,1874.6657824933686
2016-03-20,1778.1099050203527
2016-03-21,1608.3816513761467
2016-03-22,1754.4488330341112
2016-03-23,1863.2109500805152
2016-03-24,2071.434523809524
2016-03-25,1806.0742705570292
2016-03-26,1718.3663793103449
2016-03-27,1729.8358208955224
2016-03-28,1622.6117103235747
2016-03-29,1598.8079207920791
2016-03-30,1640.3734061930784
2016-03-31,1701.0187713310581
2016-04-01,1810.2037845705968
2016-04-02,1902.7932379713914
2016-04-03,1808.964864864865
2016-04-04,1520.0737410071943
2016-04-05,1684.9855855855856
2016-04-06,1755.559068219634
2016-04-07,1819.8587662337663
2016-04-08,1834.4660766961651
2016-04-09,1979.7038007863696
2016-04-10,1839.9165545087483
2016-04-11,1573.9980276134122
2016-04-12,1679.8948339483395
2016-04-13,1737.7996632996633
2016-04-14,1951.5325732899023
2016-04-15,1984.949860724234
2016-04-16,1936.8714285714286
2016-04-17,1968.754593175853
2016-04-18,1592.4794776119404
2016-04-19,1763.1031468531469
2016-04-20,1756.2937062937062
2016-04-21,1890.6495327102805
2016-04-22,1911.790436005626
2016-04-23,1891.8543046357615
2016-04-24,1853.0
2016-04-25,1649.3148148148148
2016-04-26,1700.608455882353
2016-04-27,1760.7665562913908
2016-04-28,1851.186153846154
2016-04-29,1924.4069444444444
2016-04-30,1865.980595084088
2016-05-01,1888.484962406015
2016-05-02,1682.4050991501417
2016-05-03,1641.7064220183486
2016-05-04,1731.3473684210526
2016-05-05,1784.0673076923076
2016-05-06,1890.3357041251777
2016-05-07,1960.9032679738561
2016-05-08,1936.7604166666667
2016-05-09,1639.6966490299824
2016-05-10,1730.0426287744228
2016-05-11,1784.6199021207178
2016-05-12,1939.9732540861812
2016-05-13,1921.1833105335156
2016-05-14,1961.783439490446
2016-05-15,1958.1450777202072
2016-05-16,1619.2981818181818
2016-05-17,1679.1711229946525
2016-05-18,1809.1822660098521
2016-05-19,1877.8852713178294
2016-05-20,1883.7362482369535
2016-05-21,1939.1121251629727
2016-05-22,1909.8002610966057
2016-05-23,1655.1423290203327
2016-05-24,1792.6152542372881
2016-05-25,1740.4562289562289
2016-05-26,1890.2507645259939
2016-05-27,1930.7510548523207
2016-05-28,1922.7672090112642
2016-05-29,1898.7281921618205
2016-05-30,1598.6393678160919
2016-05-31,1641.6171428571429
2016-06-01,1695.5247349823321
2016-06-02,1822.3615023474179
2016-06-03,1834.0499286733238
2016-06-04,1913.7828863346106
2016-06-05,1920.9160206718345
2016-06-06,1590.56561922366
2016-06-07,1718.5113438045375
2016-06-08,1820.1582491582492
2016-06-09,1807.407643312102
2016-06-10,1890.0014306151645
2016-06-11,1860.728
2016-06-12,1783.2532637075717
2016-06-13,1667.4872727272727
2016-06-14,1729.5349650349651
2016-06-15,1851.3487261146497
2016-06-16,1808.1576576576576
2016-06-17,1905.1952247191011
