Date,MeanTravelTimeSeconds
2016-01-02,1133.0905172413793
2016-01-03,1068.7065390749601
2016-01-04,1322.2329545454545
2016-01-05,1463.9747474747476
2016-01-06,1155.4775413711584
2016-01-07,1171.8839907192576
2016-01-08,1324.0
2016-01-09,1328.0828331332532
2016-01-10,1171.692715231788
2016-01-11,1177.6623711340205
2016-01-12,1128.702842377261
2016-01-13,1206.5075
2016-01-14,1379.3811394891945
2016-01-15,1449.7070707070707
2016-01-16,1366.302300109529
2016-01-17,1231.211706102117
2016-01-18,1113.762402088773
2016-01-19,1118.9617224880383
2016-01-20,1337.7255319148935
2016-01-21,1290.029239766082
2016-01-22,1505.2281205164993
2016-01-23,1370.1754385964912
2016-01-24,1127.9795361527968
2016-01-25,1129.3868421052632
2016-01-26,1156.2275
2016-01-27,1355.2632653061225
2016-01-28,1401.5740402193785
2016-01-29,1602.385989010989
2016-01-30,1379.1743315508022
2016-01-31,1213.2977667493797
2016-02-01,1105.5783898305085
2016-02-02,1409.7096774193549
2016-02-03,1302.2676348547718
2016-02-04,1254.0405679513185
2016-02-05,1445.955947136564
2016-02-06,1477.7831325301204
2016-02-07,1249.6722891566264
2016-02-08,1277.0131578947369
2016-02-09,1397.6666666666667
2016-02-10,1335.2607843137255
2016-02-11,1605.7826086956522
2016-02-12,1360.8360413589364
2016-02-13,1195.2458471760797
2016-02-14,1128.3862595419848
2016-02-15,1272.9411764705883
2016-02-16,1424.1529411764707
2016-02-17,1435.9909747292418
2016-02-18,1363.6089193825044
2016-02-19,1511.6964047936085
2016-02-20,1479.222014925373
2016-02-21,1269.4134831460674
2016-02-22,1287.6377118644068
2016-02-23,1373.167597765363
2016-02-24,1424.0174825174824
2016-02-25,1417.2129471890971
2016-02-26,1666.4235145385587
2016-02-27,1433.8682092555332
2016-02-28,1244.8283582089553
2016-02-29,1407.7796610169491
2016-03-01,1335.9337016574586
2016-03-02,1311.449494949495
2016-03-03,1358.6346801346801
2016-03-04,1513.8143053645117
2016-03-05,1455.252688172043
2016-03-06,1156.3761467889908
2016-03-07,1342.577002053388
2016-03-08,1400.051194539249
2016-03-09,1552.1693548387098
2016-03-10,1279.191150442478
2016-03-11,1670.7382920110192
2016-03-12,1391.213169642857
2016-03-13,1230.2405721716516
2016-03-14,1378.6775956284152
2016-03-15,1319.489075630252
2016-03-16,1306.4334415584415
2016-03-17,1345.5255172413792
2016-03-18,1675.3621951219511
2016-03-19,1418.084388185654
2016-03-20,1162.9510664993727
2016-03-21,1060.3641732283465
2016-03-22,1271.6031434184677
2016-03-23,1367.7843803056028
2016-03-24,1148.4961479198766
2016-03-25,1116.3377837116154
2016-03-26,1191.643870967742
2016-03-27,1120.6492637215529
2016-03-28,1230.2851782363978
2016-03-29,1274.482421875
2016-03-30,1234.148148148148
2016-03-31,1435.3327948303715
2016-04-01,1531.0069524913094
2016-04-02,1473.5338078291816
2016-04-03,1270.0033407572382
2016-04-04,1335.990328820116
2016-04-05,1262.8881685575366
2016-04-06,1248.9473684210527
2016-04-07,1311.839097744361
2016-04-08,1453.8950403690887
2016-04-09,1425.2341941228851
2016-04-10,1177.262158956109
2016-04-11,1299.8407534246576
2016-04-12,1140.4113475177305
2016-04-13,1241.8787401574803
2016-04-14,1299.477503628447
2016-04-15,1487.5972073039743
2016-04-16,1404.1156648451731
2016-04-17,1260.415254237288
2016-04-18,1291.7206790123457
2016-04-19,1369.78
2016-04-20,1559.8938547486034
2016-04-21,1380.8054363376252
2016-04-22,1476.2080989876265
2016-04-23,1395.7629350893696
2016-04-24,1224.5829596412557
2016-04-25,1236.3466666666666
2016-04-26,1282.1729200652528
2016-04-27,1352.4895104895104
2016-04-28,1447.0013020833333
2016-04-29,1557.5556733828207
2016-04-30,1395.941437444543
2016-05-01,1236.674180327869
2016-05-02,1238.2850318471337
2016-05-03,1365.3524684270953
2016-05-04,1384.5388471177944
2016-05-05,1291.2407170294493
2016-05-06,1555.848063555114
2016-05-07,1458.897804054054
2016-05-08,1262.7360178970916
2016-05-09,1340.3161189358373
2016-05-10,1292.383426966292
2016-05-11,1502.133425034388
2016-05-12,1527.6525
2016-05-13,1618.0813835198373
2016-05-14,1482.2403225806452
2016-05-15,1353.58476881233
2016-05-16,1376.179758308157
2016-05-17,1455.0942408376964
2016-05-18,1413.895618556701
2016-05-19,1435.066584463625
2016-05-20,1516.5320796460178
2016-05-21,1418.0461811722912
2016-05-22,1265.15015641293
2016-05-23,1449.9495798319329
2016-05-24,1420.753280839895
2016-05-25,1508.4505347593583
2016-05-26,1813.1145374449338
2016-05-27,1756.2921455938697
2016-05-28,1394.254295532646
2016-05-29,1367.6382556987116
2016-05-30,1389.5032938076417
2016-05-31,1509.0476821192053
2016-06-01,1400.0083732057417
2016-06-02,1636.7330316742082
2016-06-03,1582.2372047244094
2016-06-04,1573.5886850152906
2016-06-05,1219.530612244898
2016-06-06,1361.8144329896907
2016-06-07,1460.6073968705548
2016-06-08,1542.7006535947712
2016-06-09,1469.4660074165636
2016-06-10,1770.527079303675
2016-06-11,1597.8394964594806
2016-06-12,1333.4108108108107
2016-06-13,1318.1915820029028
2016-06-14,1497.6630434782608
2016-06-15,1506.3192261185006
2016-06-16,1566.0258899676376
2016-06-17,1711.0666666666666
2016-06-18,1553.1424287856073
2016-06-19,1383.1144839549002
2016-06-20,1562.421052631579
2016-06-21,1453.1355498721227
2016-06-22,1567.6792668957617
2016-06-23,1482.9668192219679
2016-06-24,1705.9972014925372
2016-06-25,1680.389818181818
2016-06-26,1429.596539162113
2016-06-27,1417.8062330623306
2016-06-28,1508.3821138211383
2016-06-29,1730.8340807174889
2016-06-30,1693.218262806236
2016-07-01,2259.7795138888887
2016-07-02,1596.6057233704294
2016-07-03,1389.9117395029991
2016-07-04,1444.9311424100156
2016-07-05,1603.4086603518267
2016-07-06,1451.4574314574315
2016-07-07,1723.7972972972973
2016-07-08,1641.9655913978495
2016-07-09,1527.0453821656051
2016-07-10,1372.5244444444445
2016-07-11,1434.8284839203675
2016-07-12,1473.325958702065
2016-07-13,1515.2591036414565
2016-07-14,1474.4499381953028
2016-07-15,1624.6037558685446
2016-07-16,1687.9630662020907
2016-07-17,1378.7122774133084
2016-07-18,1598.7237851662403
2016-07-19,1493.7411598302688
2016-07-20,1465.1408839779006
2016-07-21,1562.7681660899655
2016-07-22,1771.1149097815764
2016-07-23,1484.9411764705883
2016-07-24,1354.8905380333952
2016-07-25,1622.9749058971142
2016-07-26,1497.231843575419
2016-07-27,1548.6653696498054
2016-07-28,1608.47625
2016-07-29,1788.3472222222222
2016-07-30,1692.1350067842604
2016-07-31,1411.2235004108463
2016-08-01,1721.375156838143
2016-08-02,1758.2235576923076
2016-08-03,1614.2143790849673
2016-08-04,1733.609409190372
2016-08-05,1893.6779359430604
2016-08-06,1611.5079479768785
2016-08-07,1337.483842010772
2016-08-08,1725.4285714285713
2016-08-09,1584.1040312093628
2016-08-10,1644.176923076923
2016-08-11,1612.124418604651
2016-08-12,1705.220494053065
2016-08-13,1677.4862258953167
2016-08-14,1354.9403862300587
2016-08-15,1562.056653491436
2016-08-16,1794.0529279279278
2016-08-17,1626.1858513189447
2016-08-18,1630.761634506243
2016-08-19,1954.669877408056
2016-08-20,1724.5775969962453
2016-08-21,1434.786686838124
2016-08-22,1392.8711340206185
2016-08-23,1878.12405609493
2016-08-24,1937.3829787234042
2016-08-25,1823.5580357142858
2016-08-26,1801.6564417177915
2016-08-27,1636.9912980420595
2016-08-28,1419.641791044776
2016-08-29,1472.0275689223058
2016-08-30,1490.9590570719604
2016-08-31,1678.15548098434
2016-09-01,1542.4955947136564
2016-09-02,1825.244087837838
2016-09-03,1674.1916558018254
2016-09-04,1502.0752923976609
2016-09-05,1457.7932379713914
2016-09-06,1491.461139896373
2016-09-07,1593.972081218274
2016-09-08,1696.7975929978118
2016-09-09,1797.9316987740806
2016-09-10,1606.9751773049645
2016-09-11,1460.336929460581
2016-09-12,1608.8477419354838
2016-09-13,1636.2529182879377
2016-09-14,1821.3376483279396
2016-09-15,1804.1313405797102
2016-09-16,1407.9768786127167
2016-09-17,1408.482142857143
2016-09-18,1310.7203166226914
2016-09-19,1459.77868852459
2016-09-20,1502.639097744361
2016-09-21,1621.8892900120336
2016-09-22,1569.5739231664727
2016-09-23,2068.0289855072465
2016-09-24,1637.947807933194
2016-09-25,1498.0846036585365
2016-09-26,1514.0157273918742
2016-09-27,1578.3882915173238
2016-09-28,2084.309980806142
2016-09-29,1769.5549682875264
2016-09-30,2001.442869057548
2016-10-01,1767.4591513616213
2016-10-02,1492.364640883978
2016-10-03,1494.2821846553966
2016-10-04,1460.2954264524103
2016-10-05,1684.9936102236422
2016-10-06,1842.248031496063
2016-10-07,1968.3330479452054
2016-10-08,1621.8251366120219
2016-10-09,1392.2709003215434
2016-10-10,1397.7426666666668
2016-10-11,1522.153350515464
2016-10-12,1645.0120336943442
2016-10-13,1826.6491978609627
2016-10-14,1904.722086389568
2016-10-15,1705.3799621928167
2016-10-16,1499.0703066566941
2016-10-17,1572.4587155963302
2016-10-18,1532.2135922330096
2016-10-19,1640.6574394463669
2016-10-20,1685.3938428874735
2016-10-21,1882.692880794702
2016-10-22,1687.2226099092811
2016-10-23,1473.3984732824426
2016-10-24,1583.9913043478261
2016-10-25,1575.7808564231739
2016-10-26,1780.0528089887641
2016-10-27,1785.533269961977
2016-10-28,2151.3248652809853
2016-10-29,1756.4139316811788
2016-10-30,1525.3663434903046
2016-10-31,1762.9375
2016-11-01,1560.9642470205852
2016-11-02,1344.546046511628
2016-11-03,1677.507658643326
2016-11-04,1905.3204798628963
2016-11-05,1602.0604900459418
2016-11-06,1309.6976958525345
2016-11-07,1549.2919708029196
2016-11-08,1866.1957671957673
2016-11-09,1746.9312354312353
2016-11-10,1828.053553038105
2016-11-11,1932.330586080586
2016-11-12,1699.7514285714285
2016-11-13,1417.6014492753623
2016-11-14,1751.888524590164
2016-11-15,1824.8441025641025
2016-11-16,1932.8358817533128
2016-11-17,1792.875392670157
2016-11-18,2062.005132591959
2016-11-19,1756.088295687885
2016-11-20,1423.3687340696686
2016-11-21,1317.834090909091
2016-11-22,1624.1019036954087
2016-11-23,1669.159038901602
2016-11-24,1858.4309449636553
2016-11-25,2032.1160471441524
2016-11-26,1615.3254344391785
2016-11-27,1407.6999109528049
2016-11-28,1662.566750629723
2016-11-29,1679.9581795817958
2016-11-30,1868.6855895196506
2016-12-01,1834.960703205791
2016-12-02,1975.2574430823117
2016-12-03,1677.9501639344262
2016-12-04,1482.611928104575
2016-12-05,1909.121052631579
2016-12-06,1839.4439411098529
2016-12-07,1930.877139979859
2016-12-08,1967.5109938434477
2016-12-09,2062.4257188498405
2016-12-10,1778.8935658448586
2016-12-11,1492.125
2016-12-12,1438.240418118467
2016-12-13,1772.661272923409
2016-12-14,1999.3848341232228
2016-12-15,2030.6422379826636
2016-12-16,2097.0343688037015
2016-12-17,1834.2722948870392
2016-12-18,1641.292318634424
2016-12-19,1861.183020948181
2016-12-20,1869.969481180061
2016-12-21,1900.7083333333333
2016-12-22,1986.7776859504131
2016-12-23,1890.5131667792032
2016-12-24,1566.8984427894381
2016-12-25,1139.2474226804125
2016-12-26,1449.9064558629775
2016-12-27,1543.7409568261378
2016-12-28,1430.9490950226245
2016-12-29,1493.1791497975707
